Date,HomeTeam,AwayTeam,FormH,FormA,PositionH,PositionA,HSPG,ASPG,HSTPG,ASTPG,MatchRating,GoalDiff,B365H,B365D,B365A,FTR
28/09/13,Man United,West Brom,average,average,5,6,11.8,9.0,5.0,2.4,D,1,1.3,5.75,12,A
28/09/13,Southampton,Crystal Palace,average,average,4,8,9.8,8.0,4.6,3.2,H,5,1.45,4.5,8.5,H
28/09/13,Swansea,Arsenal,good,good,6,1,11.8,12.2,6.2,6.8,A,-5,3.2,3.4,2.38,A
28/09/13,Tottenham,Chelsea,good,average,2,4,16.0,14.4,6.8,5.6,D,0,2.7,3.3,2.88,D
29/09/13,Stoke,Norwich,average,average,7,9,9.8,7.8,4.0,2.6,D,2,1.95,3.4,4.5,A
29/09/13,Sunderland,Liverpool,poor,average,11,4,9.2,11.2,2.2,5.6,A,-10,5.5,3.9,1.7,A
30/09/13,Everton,Newcastle,good,good,5,7,12.0,12.2,5.2,4.0,H,5,1.65,4,6,H
5/10/2013,Cardiff,Newcastle,average,average,7,8,8.33,12.0,2.5,4.33,D,3,2.45,3.4,3.1,A
5/10/2013,Fulham,Stoke,poor,poor,10,8,7.17,9.17,3.17,3.5,D,-3,2.4,3.3,3.3,H
5/10/2013,Hull,Aston Villa,good,good,5,6,6.67,9.0,3.33,3.33,D,-2,2.45,3.3,3.2,D
5/10/2013,Liverpool,Crystal Palace,average,poor,2,9,11.17,7.0,5.67,2.67,H,10,1.2,7.5,17,H
5/10/2013,Man City,Everton,average,good,6,4,12.67,12.5,6.17,5.5,H,4,1.67,4.2,5.5,H
5/10/2013,Sunderland,Man United,poor,average,11,8,10.33,11.33,2.67,5.17,A,-10,6,4,1.65,A
6/10/2013,Norwich,Chelsea,average,average,8,5,7.5,13.33,2.67,5.5,A,-6,6.5,4,1.62,A
6/10/2013,Southampton,Swansea,good,average,6,9,9.67,11.17,4.5,5.67,H,4,2.1,3.5,3.8,H
6/10/2013,Tottenham,West Ham,good,poor,4,10,14.83,9.17,6.33,2.33,H,5,1.44,4.75,8.5,A
6/10/2013,West Brom,Arsenal,good,good,8,2,9.5,11.5,2.67,6.33,A,-5,4.9,4,1.75,D
19/10/13,Arsenal,Norwich,good,average,1,9,11.43,7.86,6.14,2.71,H,12,1.29,6,12,H
19/10/13,Chelsea,Cardiff,good,average,3,9,13.71,8.29,5.86,2.43,H,4,1.25,6.5,15,H
19/10/13,Everton,Hull,good,good,6,7,11.43,6.43,5.29,3.0,D,0,1.45,4.5,9,H
19/10/13,Man United,Southampton,average,good,8,5,11.29,9.57,5.29,4.43,A,-6,1.57,4.33,6.5,D
19/10/13,Newcastle,Liverpool,average,good,7,3,12.43,11.14,5.14,5.86,A,-4,4.5,3.9,1.83,D
19/10/13,Stoke,West Brom,poor,good,9,7,9.57,9.57,3.43,2.86,A,-4,2.3,3.3,3.5,D
19/10/13,Swansea,Sunderland,average,poor,8,10,11.57,9.29,5.86,2.57,H,10,1.62,4,6.5,H
19/10/13,West Ham,Man City,average,good,7,4,9.71,12.43,2.71,6.14,A,-5,5.5,3.8,1.73,A
20/10/13,Aston Villa,Tottenham,good,average,7,5,9.14,14.14,3.43,6.0,D,-1,4,3.5,2.05,A
21/10/13,Crystal Palace,Fulham,poor,average,9,8,6.86,6.86,2.57,3.0,D,-2,2.75,3.3,2.8,A
27/10/13,Man City,Chelsea,good,good,3,2,12.25,14.0,6.5,6.0,D,2,2.4,3,3.2,D
27/10/13,Sunderland,Newcastle,poor,average,11,6,8.88,12.25,2.38,5.0,A,-15,3,3,2.5,D
27/10/13,Swansea,West Ham,average,average,8,9,11.5,9.5,5.88,2.63,H,7,1.7,3.75,4.8,D
27/10/13,Tottenham,Hull,average,average,4,7,13.88,6.63,6.0,2.75,D,2,1.4,4.35,8.5,D
